名称,シンドローム,最大Lv,タイミング,技能,難易度,対象,射程,侵蝕値,制限,,効果,内容,侵触率基本値,ｲｰｼﾞｰ,ｴﾈﾐｰ,ﾀﾞｲｽ,C値,C下,達成値,ATK,ID(検索用),出典,備考,,,簡単効果,,,,
崩れずの群れ,エグザイル,1,オートアクション,-,自動成功,自身,至近,2,-,,ダメージロールの直前に使用する。あなたはカバーリングを行なう。このカバーリングによって、あなたは行動済みにならず、あなたが行動済みでも使用できる。このエフェクトは1メインプロセスに1回まで使用できる。,身体の一部分を分裂させて対象をかばうエフェクト。,,FALSE,FALSE,,,,,,348,1,,,,整備中！まってね,身体の-部分を分裂させて対象をかばうエフェクト。ダメージロールの直前に使用する。あなたはカバーリングを行なう。このカバーリングによって、あなたは行動済みにならず、あなたが行動済みでも使用できる。このエフェクトは1メインプロセスに1回まで使用できる。,身体の-部分を分裂させて対象をかばう,ダメージロールの直前に使用する。あなたはカバーリングを行なう。このカバーリングによって、あなたは行動済みにならず、あなたが行動済みでも使用できる。このエフェクトは1メインプロセスに1回まで使用できる。,
伸縮腕,エグザイル,3,メジャーアクション,白兵,対決,-,視界,2,-,,このエフェクトを組み合わせた白兵攻撃の射程を視界に変更する。このエフェクトを組み合わせた判定のダイスを-[3-LV]個する(最大0個)。,手足を伸ばし、対象を攻撃するエフェクト。,,FALSE,FALSE,,,,,,354,1,,,,整備中！まってね,手足を伸ばし、対象を攻撃するエフェクト。このエフェクトを組み合わせた白兵攻撃の射程を視界に変更する。このエフェクトを組み合わせた判定のダイスを-[3-LV]個する(最大0個)。,手足を伸ばし、対象を攻撃する,このエフェクトを組み合わせた白兵攻撃の射程を視界に変更する。このエフェクトを組み合わせた判定のダイスを-[3-LV]個する(最大0個)。,
骨の剣,エグザイル,3,マイナーアクション,-,自動成功,自身,至近,3,-,,"そのシーンの間、あなたの素手のデータを以下のように変更する。
種別：白兵　技能：〈白兵〉
命中：-1　攻撃力：［LV×2+5]
ガード値：6　射程：至近",骨の形状を変化させ、白兵用の武器に仕立て上げるエフェクト。,,FALSE,FALSE,,,,,,363,1,,,,整備中！まってね,骨の形状を変化させ、白兵用の武器に仕立て上げるエフェクト。そのシーンの間、あなたの素手のデータを以下のように変更する。種別:白兵技能:(白兵)命中:-1攻撃力:+[LV+5ガード値:6射程:至近,骨の形状を変化させ、白兵用の武器に仕立て上げる,そのシーンの間、あなたの素手のデータを以下のように変更する。種別:白兵技能:(白兵)命中:-1攻撃力:+[LV+5ガード値:6射程:至近,
骨の銃,エグザイル,3,マイナーアクション,-,自動成功,自身,至近,3,-,,"そのシーンの間、あなたは以下のデータの武器を作成し、装備する。
種別：射撃　技能：〈射撃〉
命中：-1　攻撃力：[LV×2+5]
ガード値：－　射程：20m",骨を弾丸とする銃を、体内で作り出すエフェクト。,,FALSE,FALSE,,,,,,364,1,,,,整備中！まってね,骨を弾丸とする銃を、体内で作り出すエフェクト。そのシーンの間、あなたは以下のデータの武器を作成し、装備する。種別:射摯技能:(射撃命中:-1攻撃力:+[LV+5]ガード値:-射程:20m,骨を弾丸とする銃を、体内で作り出す,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。種別:射摯技能:(射撃命中:-1攻撃力:+[LV+5]ガード値:-射程:20m,
歪みの体,エグザイル,10,オートアクション,-,自動成功,自身,至近,1,-,,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+[LV+3]する。,柔らかい体を生かし、衝撃を逃すエフェクト。,,FALSE,FALSE,,,,,,366,1,,,,整備中！まってね,柔らかい体を生かし、衝撃を逃すエフェクト。あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+[LV+3]する。,柔らかい体を生かし、衝撃を逃す,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+[LV+3]する。,
螺旋撃,エグザイル,3,マイナーアクション,-,自動成功,自身,至近,3,-,,このメインプロセスの間、あなたが行なうメジャーアクションに対するリアクションは、クリティカル値が+1される。このエフェクトは1シーンにLV回まで使用できる。,螺旋状に力を蓄え強力なー撃を与えるエフェクト。,,FALSE,FALSE,,,,,,367,1,,,,整備中！まってね,螺旋状に力を蓄え強力なー撃を与えるエフェクト。このメインプロセスの間、あなたが行なうメジャーアクションに対するリアクションは、クリティカル値が+1される。このエフェクトは1シーンにLV回まで使用できる。,螺旋状に力を蓄え強力なー撃を与える,このメインプロセスの間、あなたが行なうメジャーアクションに対するリアクションは、クリティカル値が+1される。このエフェクトは1シーンにLV回まで使用できる。,
ジャイアントグロウス,エグザイル,3,メジャーアクション,白兵,対決,範囲(選択),武器,5,100%,,このエフェクトを組み合わせた白兵攻撃の対象を範囲(選択)に変更し、攻撃力を+2Dする。このエフェクトは1シナリオにLV回まで使用できる。,肉体の一部を成長させ、強化するエフェクト。,,FALSE,FALSE,,,,,,372,1,,,,整備中！まってね,肉体の-部を成長させ、強化するエフェクト。このエフェクトを組み合わせた白兵攻撃の対象を範囲(選択)に変更し、攻撃力を+2Dする。このエフェクトは1シナリオにLV回まで使用できる。,肉体の-部を成長させ、強化する,このエフェクトを組み合わせた白兵攻撃の対象を範囲(選択)に変更し、攻撃力を+2Dする。このエフェクトは1シナリオにLV回まで使用できる。,
透過,エグザイル,1,オートアクション,-,自動成功,自身,至近,4D10,120%,,重圧を受けていても使用可能。あなたへのHPダメージが算出された直後に使用する。あなたに適用される(予定の)HPダメージを0に変更する。このエフェクトは1シナリオに1回まで使用できる。,肉体を液体と化し攻撃を通過させ、さらにみずからのエネルギーへと変換するエフェクト。,,FALSE,FALSE,,,,,,375,1,,,,整備中！まってね,肉体を液体と化し攻撃を通過させ、さらにみずからのエネルギーへと変換するエフェクト。重圧を受けていても使用可能。あなたへのHPダメージが算出された直後に使用する。あなたに適用される(予定の)HPダメージをに変更する。このエフェクトは1シナリオに1回まで使用できる。,肉体を液体と化し攻撃を通過させ、さらにみずからのエネルギーへと変換する,重圧を受けていても使用可能。あなたへのHPダメージが算出された直後に使用する。あなたに適用される(予定の)HPダメージをに変更する。このエフェクトは1シナリオに1回まで使用できる。,
がらんどうの肉体,エグザイル,3,オートアクション,-,自動成功,自身,至近,3,ピュアブリード,,あなたへのHPダメージが算出された直後に使用する。あなたが受ける(予定の)ダメージを-(LV+2)Dする。このエフェクトは1ラウンドに1回まで使用できる。,体内の重要器官を移動させることでダメージを無効化するエフェクト。,,FALSE,FALSE,,,,,,377,1,,,,整備中！まってね,体内の重要器官を移動させることでダメージを無効化するエフェクト。あなたへのHPダメージが算出された直後に使用する。あなたが受ける<予定の)ダメージを-(LV+2)Dする。このエフェクトは1ラウンドに1回まで使用できる。,体内の重要器官を移動させることでダメージを無効化する,あなたへのHPダメージが算出された直後に使用する。あなたが受ける<予定の)ダメージを-(LV+2)Dする。このエフェクトは1ラウンドに1回まで使用できる。,
一閃,ハヌマーン,1,メジャーアクション,白兵,対決,-,武器,2,-,,このエフェクトを組み合わせた場合、全力移動を行なった後に白兵攻撃を行なう。攻撃の成否にかかわらず、移動は行なわれる。ただし、離脱は行なえない。,一瞬にして敵に近づき、攻撃するエフェクト。,,FALSE,FALSE,,,,,,394,1,,,,整備中！まってね,-瞬にして敵に近づき、攻撃するエフェクト。このエフェクトを組み合わせた場合、全力移動を行なった後に白兵攻撃を行なう。攻撃の成否にかかわらず、移動は行なわれる。ただし、離脱は行なえない。,-瞬にして敵に近づき、攻撃する,このエフェクトを組み合わせた場合、全力移動を行なった後に白兵攻撃を行なう。攻撃の成否にかかわらず、移動は行なわれる。ただし、離脱は行なえない。,
エンジェルヴォイス,ハヌマーン,3,メジャーアクション,交渉,自動成功,単体,視界,4,-,,対象が次に行なうメジャーアクションのクリティカル値を-1(下限値6)し、判定のダイスを+LV個する。,心地よい高周波を伴った声を出すエフェクト。その出力を調整された高周波は、聞く者の全身を震わせる。,,FALSE,FALSE,,-1,6,,,398,1,,,,整備中！まってね,心地よい高周波を伴った声を出すエフェクト。その出力を調整された高周波は、聞く者の全身を震わせる。対象が次に行なうメジャーアクションのクリティカル値を-1(下限値6)し、判定のダイスを+LV個する。,心地よい高周波を伴った声を出す,その出力を調整された高周波は、聞く者の全身を震わせる。対象が次に行なうメジャーアクションのクリティカル値を-1(下限値6)し、判定のダイスを+LV個する。,
風の渡し手,ハヌマーン,5,メジャーアクション,交渉,-,[LV+1]体,,3,-,,このエフェクトを組み合わせた行動の対象を[LV+1]体に変更する。このエフェクトは1シーンに1回まで使用できる。,音自体を操って、対象のみに声を届かせるエフェクト。あなたは空間に発生する波そのものを操って、特定領域にのみ音を響かせることができる。,,FALSE,FALSE,,,,,,402,1,,,,整備中！まってね,音自体を操って、対象のみに声を届かせるエフェクト。あなたは空間に発生する波そのものを操って、特定領域にのみ音を響かせることができる。このエフェクトを組み合わせた行動の対象を[LV+1]体に変更する。このエフェクトは1シーンに1回まで使用できる。,音自体を操って、対象のみに声を届かせる,あなたは空間に発生する波そのものを操って、特定領域にのみ音を響かせることができる。このエフェクトを組み合わせた行動の対象を[LV+1]体に変更する。このエフェクトは1シーンに1回まで使用できる。,
サイレンの魔女,ハヌマーン,5,メジャーアクション,RC,対決,シーン(選択),視界,5,-,,「攻撃力：+[LV×3]」の射撃攻撃を行なう。このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。このエフェクトを組み合わせた判定には、《コンセントレイト》を組み合わせることはできない。,周囲全域に振動波の攻撃を加えるエフェクト。,,FALSE,FALSE,,,,,,406,1,,,,整備中！まってね,周囲全域に振動波の攻撃を加えるエフェクト。「攻撃力:+[LV×3]」の射撃攻撃を行なう。このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。このエフェクトを組み合わせた判定には、《コンセントレイト》を組み合わせることはできない。,周囲全域に振動波の攻撃を加える,「攻撃力:+[LV×3]」の射撃攻撃を行なう。このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。このエフェクトを組み合わせた判定には、《コンセントレイト》を組み合わせることはできない。,
さらなる波,ハヌマーン,5,メジャーアクション,シンドローム,対決,-,,2,-,,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,波のエネルギーを増幅し、攻撃力を増強するエフェクト。あなたの力と共鳴し、振動のエネルギーは無限に高まっていく。,,FALSE,FALSE,,,,,,407,1,,,,整備中！まってね,波のエネルギーを増幅し、攻撃力を増強するエフェクト。あなたの力と共鳴し、振動のエネルギーは無限に高まっていく。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,波のエネルギーを増幅し、攻撃力を増強する,あなたの力と共鳴し、振動のエネルギーは無限に高まっていく。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,
獅子奮迅,ハヌマーン,3,メジャーアクション,白兵,対決,範囲(選択),武器,4,-,,このエフェクトを組み合わせた白兵攻撃の対象を範囲(選択)に変更する。このエフェクトは1シナリオにLV回まで使用できる。,同時に何撃もの攻撃をくり出し、あなたの周囲のすべての敵をなぎ倒すエフェクト。何百人の敵であろうと、あなたにかかれば一瞬である。,,FALSE,FALSE,,,,,,409,1,,,,整備中！まってね,同時に何撃もの攻撃をくり出し、あなたの周囲のすべての敵をなぎ倒すエフェクト。何百人の敵であろうと、あなたにかかれば-瞬である。このエフェクトを組み合わせた白兵攻撃の対象を範囲(選択)に変更する。このエフェクトは1シナリオにLV回まで使用できる。,同時に何撃もの攻撃をくり出し、あなたの周囲のすべての敵をなぎ倒す,何百人の敵であろうと、あなたにかかれば-瞬である。このエフェクトを組み合わせた白兵攻撃の対象を範囲(選択)に変更する。このエフェクトは1シナリオにLV回まで使用できる。,
振動球,ハヌマーン,10,メジャーアクション,RC,対決,-,視界,3,-,,「攻撃力：+LV」の射撃攻撃を行なう。この攻撃では、対象の装甲値を無視してダメージを算出する。,振動波を打ち出して敵を攻撃するエフェクト。どんなに分厚い装甲も、振動波の前には無力だ。,,FALSE,FALSE,,,,,,411,1,,,,整備中！まってね,振動波を打ち出して敵を攻撃するエフェクト。どんなに分厚い装甲も、振動波の前には無力だ。「攻撃力:+LV」の射撃攻撃を行なう。この攻撃では、対象の装甲値を無視してダメージを算出する。,振動波を打ち出して敵を攻撃する,どんなに分厚い装甲も、振動波の前には無力だ。「攻撃力:+LV」の射撃攻撃を行なう。この攻撃では、対象の装甲値を無視してダメージを算出する。,
声援,ハヌマーン,3,メジャーアクション,交渉,自動成功,-,視界,2,-,,対象が次に行なうメジャーアクションのダイスを+LV個する。,"声を媒介に、対象の運動能力、思考能力を増幅する""波""を送り込むエフェクト。",,FALSE,FALSE,,,,,,414,1,,,,整備中！まってね,"声を媒介に、対象の運動能力、思考能力を増幅する""波""を送り込むエフェクト。対象が次に行なうメジャーアクションのダイスを+LV個する。","声を媒介に、対象の運動能力、思考能力を増幅する""波""を送り込む",対象が次に行なうメジャーアクションのダイスを+LV個する。,
電光石火,ハヌマーン,3,メジャー/リアクション,肉体/感覚,,-,-,3,-,,このエフェクトを組み合わせた判定のダイスを+[LV+1]個する。ただし、あなたは1D点のHPを失う。,肉体の限界を遙かに超えたスピードと反射神経を発揮するエフェクト。,,FALSE,FALSE,,,,,,418,1,,,,整備中！まってね,肉体の限界を遙かに超えたスピードと反射神経を発揮するエフェクト。このエフェクトを組み合わせた判定のダイスを+[LV+1]個する。ただし、あなたは1D点のHPを失う。,肉体の限界を遙かに超えたスピードと反射神経を発揮する,このエフェクトを組み合わせた判定のダイスを+[LV+1]個する。ただし、あなたは1D点のHPを失う。,
バトルビート,ハヌマーン,3,マイナーアクション,-,自動成功,自身,至近,2,-,,そのメインプロセスの間、あなたが行なうハヌマーンのエフェクトを使用した判定のダイスを+LV個する。,独特のリズムで戦うことで、戦闘を有利に進めるエフェクト。内なる鼓動を把握し、そのピートに乗って戦うことで、あなたは敵を翻弄する。,,FALSE,FALSE,,,,,,421,1,,,,整備中！まってね,独特のリズムで戦うことで、戦闘を有利に進めるエフェクト。内なる鼓動を把握し、そのピートに乗って戦うことで、あなたは敵を翻弄する。そのメインプロセスの間、あなたが行なうハヌマーンのエフェクトを使用した判定のダイスを+LV個する。,独特のリズムで戦うことで、戦闘を有利に進める,内なる鼓動を把握し、そのピートに乗って戦うことで、あなたは敵を翻弄する。そのメインプロセスの間、あなたが行なうハヌマーンのエフェクトを使用した判定のダイスを+LV個する。,
吠え猛る爪,ハヌマーン,5,メジャーアクション,白兵,対決,-,武器,2,-,,このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出し、攻撃力を-[5-LV](最大0)する。,振動波を伝達させ、あらゆる装甲を無視してダメージを与えるエフェクト。あなたの振動波は、物質分子結合を分解する効果を持つ。,,FALSE,FALSE,,,,,,426,1,,,,整備中！まってね,振動波を伝達させ、あらゆる装甲を無視してダメージを与えるエフェクト。あなたの振動波は、物質分子結合を分解する効果を持つ。このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出し、攻撃力を-[5-LV](最大0)する。,振動波を伝達させ、あらゆる装甲を無視してダメージを与える,あなたの振動波は、物質分子結合を分解する効果を持つ。このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出し、攻撃力を-[5-LV](最大0)する。,
マシラのごとく,ハヌマーン,3,メジャーアクション,シンドローム,対決,単体,-,5,80%,,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×10]する。ただし、このエフェクトを組み合わせた判定のダイスは-5個される。このエフェクトは1シナリオに1回まで使用できる。,高速化された神経伝達による超高速の連撃を行なうエフェクト。ただし、そのあまりの速さに制御は難しい。,,FALSE,FALSE,,,,,,429,1,,,,整備中！まってね,高速化された神経伝達による超高速の連撃を行なうエフェクト。ただし、そのあまりの速さに制御は難しい。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×10]する。ただし、このエフェクトを組み合わせた判定のダイスは-5個される。このエフェクトは1シナリオに1回まで使用できる。,高速化された神経伝達による超高速の連撃を行なう,ただし、そのあまりの速さに制御は難しい。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×10]する。ただし、このエフェクトを組み合わせた判定のダイスは-5個される。このエフェクトは1シナリオに1回まで使用できる。,
リミットリリース,ハヌマーン,1,オートアクション,-,自動成功,自身,至近,6,100%,,あなたが判定を行なう直前に使用する。その判定のクリティカル値を-1(下限値5)する。このエフェクトは1シナリオに1回まで使用できる。,神経加速により限界を突破するエフェクト。,,FALSE,FALSE,,-1,5,,,432,1,,,,整備中！まってね,神経加速により限界を突破するエフェクト。あなたが判定を行なう直前に使用する。その判定のクリティカル値を-1(下限値5)する。このエフェクトは1シナリオに1回まで使用できる。,神経加速により限界を突破する,あなたが判定を行なう直前に使用する。その判定のクリティカル値を-1(下限値5)する。このエフェクトは1シナリオに1回まで使用できる。,
空蝉,ハヌマーン,1,オートアクション,-,自動成功,自身,至近,4D10,120%,,重圧を受けていても使用可能。あなたへのHPダメージが算出された直後に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。,残像を残して高速移動し、敵の攻撃を自身からそらすエフェクト。,,FALSE,FALSE,,,,,,433,1,,,,整備中！まってね,残像を残して高速移動し、敵の攻撃を自身からそらすエフェクト。重圧を受けていても使用可能。あなたへのHPダメージが算出された直後に使用する。そのHPダメージをにする。このエフェクトは1シナリオに1回まで使用できる。,残像を残して高速移動し、敵の攻撃を自身からそらす,重圧を受けていても使用可能。あなたへのHPダメージが算出された直後に使用する。そのHPダメージをにする。このエフェクトは1シナリオに1回まで使用できる。,
スピードフォース,ハヌマーン,3,イニシアチブプロセス,-,自動成功,自身,至近,4,ピュアブリード,,他エフェクトと組み合わせ不可。あなたはイニシアチブプロセスにメインプロセスを行なえる。このエフェクトはあなたが未行動でないと使用できない。このエフェクトは1シナリオにLV回まで使用できる。,とてつもない速度によって、敵に制限:ピュアプリード反応させず行動するエフェクト。,,FALSE,FALSE,,,,,,437,1,,,,整備中！まってね,とてつもない速度によって、敵に制限:ピュアプリード反応させず行動するエフェクト。他エフェクトと組み合わせ不可。あなたはイニシアチブブロセスにメインプロセスを行なえる。このエフェクトはあなたが未行動でないと使用できない。このエフェクトは1シナリオにLV回まで使用できる。,とてつもない速度によって、敵に制限:ピュアプリード反応させず行動する,他エフェクトと組み合わせ不可。あなたはイニシアチブブロセスにメインプロセスを行なえる。このエフェクトはあなたが未行動でないと使用できない。このエフェクトは1シナリオにLV回まで使用できる。,
インフィニティウェポン,モルフェウス,3,マイナーアクション,-,自動成功,自身,至近,3,-,,"そのシーンの間、以下のデータの武器を作成し、装備する。
種別：白兵　技能：〈白兵〉
命中：0　攻撃力：[LV×3+7]
ガード値：3　射程：至近",物質を変換して、白兵戦用の武器を製作するエフェクト。その形状はあなたの思いのままである。,,FALSE,FALSE,,,,,,452,1,,,,整備中！まってね,物質を変換して、白兵戦用の武器を製作するエフェクト。その形状はあなたの思いのままである。そのシーンの間、以下のデータの武器を作成し、装備する。種別:白兵技能:<白兵)命中:0攻撃力:+[LV+7]ガード値:3射程:至近,物質を変換して、白兵戦用の武器を製作する,その形状はあなたの思いのままである。そのシーンの間、以下のデータの武器を作成し、装備する。種別:白兵技能:<白兵)命中:0攻撃力:+[LV+7]ガード値:3射程:至近,
黄金練成,モルフェウス,3,常時,-,自動成功,自身,至近,-,-,,キャラクター作成時、およびアフタープレイにおける常備化ボイントの計算の際、常備化ポイントを+[LV×10]する。このエフェクトは侵触率でレベルアップしない。このエフェクトを取得した場合、侵蝕率基本値が+3され,物質を黄金に変換するエフェクト。,3,FALSE,FALSE,,,,,,455,1,,,,整備中！まってね,物質を黄金に変換するエフェクト。キャラクター作成時、およびアフタープレイにおける常備化ボイントの計算の際、常備化ポイントを+[LV×10]する。このエフェクトは侵触率でレベルアップしない。このエフェクトを取得した場合、侵蝕率基本値が+3され,物質を黄金に変換する,キャラクター作成時、およびアフタープレイにおける常備化ボイントの計算の際、常備化ポイントを+[LV×10]する。このエフェクトは侵触率でレベルアップしない。このエフェクトを取得した場合、侵蝕率基本値が+3され,
カスタマイズ,モルフェウス,3,メジャーアクション,白兵/射撃,対決,-,武器,2,-,,このエフェクトを組み合わせた判定のダイスを+LV個する。,武器を最も攻撃に適した形に変えるエフェクト。あなたの手に馴染むように武器が変形する。それは世界でひとつだけのあなた専用の武器だ。,,FALSE,FALSE,,,,,,456,1,,,,整備中！まってね,武器を最も攻撃に適した形に変えるエフェクト。あなたの手に馴染むように武器が変形する。それは世界でひとつだけのあなた専用の武器だ。このエフェクトを組み合わせた判定のダイスを+LV個する。,武器を最も攻撃に適した形に変える,あなたの手に馴染むように武器が変形する。それは世界でひとつだけのあなた専用の武器だ。このエフェクトを組み合わせた判定のダイスを+LV個する。,
ギガンティックモード,モルフェウス,1,メジャーアクション,白兵/射撃,対決,範囲(選択),武器,3,-,,このエフェクトを組み合わせた攻撃の対象を範囲(選択)に変更する。ただし、判定後にあなたの装備している武器はすべて破壊される。,武器を分裂させるエフェクト。無数に分かたれた武器の切っ先は、並みいる敵を的確に倒していく。,,FALSE,FALSE,,,,,,458,1,,,,整備中！まってね,武器を分裂させるエフェクト。無数に分かたれた武器の切っ先は、並みいる敵を的確に倒していく。このエフェクトを組み合わせた攻撃の対象を範囲(選択)に変更する。ただし、判定後にあなたの装備している武器はすべて破壊される。,武器を分裂させる,無数に分かたれた武器の切っ先は、並みいる敵を的確に倒していく。このエフェクトを組み合わせた攻撃の対象を範囲(選択)に変更する。ただし、判定後にあなたの装備している武器はすべて破壊される。,
サイコメトリー,モルフェウス,3,メジャーアクション,情報,-,-,-,1,-,,すべての(情報：〉判定と組み合わせることができる。このエフェクトを組み合わせた判定のダイスを+[LV+2]個する。,物品から情報を引き出すエフェクト。壁や床などから、その場所で起きたことも引き出すことができる。,,FALSE,FALSE,,,,,,461,1,,,,整備中！まってね,物品から情報を引き出すエフェクト。壁や床などから、その場所で起きたことも引き出すことができる。すべての(情報:〉判定と組み合わせることができる。このエフェクトを組み合わせた判定のダイスを+[LV+2]個する。,物品から情報を引き出す,壁や床などから、その場所で起きたことも引き出すことができる。すべての(情報:〉判定と組み合わせることができる。このエフェクトを組み合わせた判定のダイスを+[LV+2]個する。,
シールドクリエイト,モルフェウス,5,マイナーアクション,-,自動成功,自身,至近,3,-,,"そのシーンの間、以下のデータの武器を作成し、装備する。
種別：白兵　技能：〈白兵〉
命中：0　攻撃力：0
ガード値：[LV×3+5］射程：至近",物質を変換して、盾を製作するエフェクト。その形状はあなたの思いのままである。,,FALSE,FALSE,,,,,,462,1,,,,整備中！まってね,物質を変換して、盾を製作するエフェクト。その形状はあなたの思いのままである。そのシーンの間、以下のデータの武器を作成し、装備する。種別:兵技能:(白兵)命中:0攻撃力:0ガード値:LV×2]+4射程:至近,物質を変換して、盾を製作する,その形状はあなたの思いのままである。そのシーンの間、以下のデータの武器を作成し、装備する。種別:兵技能:(白兵)命中:0攻撃力:0ガード値:LV×2]+4射程:至近,
水晶の剣,モルフェウス,3,メジャーアクション,-,自動成功,効果参照,至近,4,-,,他エフェクトと組み合わせ不可。武器をひとつ選択すること。そのシナリオの間、選択した武器の攻撃力を+[LV×2]する。このエフェクトは1シナリオに3回まで使用できる。,武器を強化し、触れた物を結晶化させて粉砕するエフェクト。,,FALSE,FALSE,,,,,,464,1,,,,整備中！まってね,武器を強化し、触れた物を結晶化させて粉砕するエフェクト。他エフェクトと組み合わせ不可。武器をひとつ選択すること。そのシナリオの間、選択した武器の攻撃力を+[LV×2]する。このエフェクトは1シナリオに3回まで使用できる。,武器を強化し、触れた物を結晶化させて粉砕する,他エフェクトと組み合わせ不可。武器をひとつ選択すること。そのシナリオの間、選択した武器の攻撃力を+[LV×2]する。このエフェクトは1シナリオに3回まで使用できる。,
砂の結界,モルフェウス,1,オートアクション,-,自動成功,自身,至近,2,-,,ダメージロールの直前に使用する。あなたはカバーリングを行なう。このカパーリングによって、あなたは行動済みにならず、あなたが行動済みでも使用できる。このエフェクトは1メインプロセスに1回まで使用できる。,砂で相手をかばうエフェクト。,,FALSE,FALSE,,,,,,467,1,,,,整備中！まってね,砂で相手をかばうエフェクト。ダメージロールの直前に使用する。あなたはカバーリングを行なう。このカパーリングによって、あなたは行動済みにならず、あなたが行動済みでも使用できる。このエフェクトは1メインプロセスに1回まで使用できる。,砂で相手をかばう,ダメージロールの直前に使用する。あなたはカバーリングを行なう。このカパーリングによって、あなたは行動済みにならず、あなたが行動済みでも使用できる。このエフェクトは1メインプロセスに1回まで使用できる。,
ハンドレッドガンズ,モルフェウス,3,マイナーアクション,-,自動成功,自身,至近,3,-,,"そのシーンの間、以下のデータの武器を作成し、装備する。
種別：射撃　技能：〈射撃〉
命中：0　攻撃力：[LV×3+4]
ガード値：-　射程：30m",物質を変換して、射撃戦用の武器を製作するエフェクト。その形状はあなたの思いのままである。,,FALSE,FALSE,,,,,,476,1,,,,整備中！まってね,物質を変換して、射撃戦用の武器を製作するエフェクト。その形状はあなたの思いのままである。そのシーンの間、以下のデータの武器を作成し、装備する。種別:射撃技能:(射撃命中:0攻撃力:+[LV+4]ガード値:―射程:30m,物質を変換して、射撃戦用の武器を製作する,その形状はあなたの思いのままである。そのシーンの間、以下のデータの武器を作成し、装備する。種別:射撃技能:(射撃命中:0攻撃力:+[LV+4]ガード値:―射程:30m,
ペネトレイト,モルフェウス,1,メジャーアクション,白兵/射撃,対決,-,武器,3,-,,このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。ただし、このエフェクトを組み合わせた判定のダイスを-1個する。,武器の形状を変化させ、貫通力を高めるエフェクト。,,FALSE,FALSE,,,,,,480,1,,,,整備中！まってね,武器の形状を変化させ、貫通力を高めるエフェクト。このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。ただし、このエフェクトを組み合わせた判定のダイスを-1個する。,武器の形状を変化させ、貫通力を高める,このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。ただし、このエフェクトを組み合わせた判定のダイスを-1個する。,
レインフォース,モルフェウス,5,メジャーアクション,シンドローム,対決,-,-,2,-,,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,物質の強度を上げることによって、その攻撃力を向上するエフェクト。あなたの操る武器は、ダイヤモンド以上の硬度を誇る。その手にかかれば、たとえ古びた剣でも名剣と変わるだろう。,,FALSE,FALSE,,,,,,485,1,,,,整備中！まってね,物質の強度を上げることによって、その攻撃力を向上するエフェクト。あなたの操る武器は、ダイヤモンド以上の硬度を誇る。その手にかかれば、たとえ古びた剣でも名剣と変わるだろう。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,物質の強度を上げることによって、その攻撃力を向上する,あなたの操る武器は、ダイヤモンド以上の硬度を誇る。その手にかかれば、たとえ古びた剣でも名剣と変わるだろう。このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,
パーフェクトコントロール,モルフェウス,1,オートアクション,-,自動成功,自身,至近,4,80%,,あなたが判定を行なう直前に使用する。その判定の達成値を+10する。ただし、あなたは5点のHPを消費する。このエフェクトは1シーンに1回まで使用できる。,物体の構造を完全に理解し、一瞬だけ完全無欠にそれを使いこなすエフェクト。,,FALSE,FALSE,,,,,,488,1,,,,整備中！まってね,物体の構造を完全に理解し、-瞬だけ完全無欠にそれを使いこなすエフェクト。あなたが判定を行なう直前に使用する。その判定の達成値を+10する。ただし、あなたは5点のHPを消費する。このエフェクトは1シーンに1回まで使用できる。,物体の構造を完全に理解し、-瞬だけ完全無欠にそれを使いこなす,あなたが判定を行なう直前に使用する。その判定の達成値を+10する。ただし、あなたは5点のHPを消費する。このエフェクトは1シーンに1回まで使用できる。,
