id,技能,系統,区分,Lv,名称(原文),名称(正規),読み,動作,消費,条件,対象,射程/形状,時間,抵抗,属性,効果概要,参照,拡張・適用対象,備考
257,プリースト,神聖魔法,ミルタバル,10,【ゴッドハンド】,ゴッドハンド,ゴッドハンド,▶,MP6,,1体,2(30m)/起点指定,1時間,任意,,器用度が関連する行為判定が自動成功しやすくなる,II-174/MA-105,,第三・大神
258,プリースト,神聖魔法,ミルタバル,13,⏩△【ハイパー・アクセラレーション】,ハイパー・アクセラレーション,ハイパーアクセラレーション,⏩△,MP22,,1エリア(半径3m)/5,術者/-,一瞬/10秒(1R),必中,,器用度+12、敏捷度+12,III-162/MA-105,,第三・大神
259,プリースト,神聖魔法,パロ,2,⏩【ファー・コマンド】,ファー・コマンド,ファーコマンド,⏩,MP2,,術者,術者/-,10秒(1R),任意,,術者の使用する鼓咆の範囲を広げる,MA-109,,第三・大神
260,プリースト,神聖魔法,パロ,4,【ピジョン・フォーム】,ピジョン・フォーム,ピジョンフォーム,▶,MP10,,術者,術者/-,3時間,任意,,鳩の姿になる,MA-109,,第三・大神
261,プリースト,神聖魔法,パロ,7,【メンタル・ヒーリング】,メンタル・ヒーリング,メンタルヒーリング,▶,MP6,,1体全,2(30m)/起点指定,一瞬,任意,,「精神効果」の不利な効果をひとつ解除する,MA-109,,第三・大神
262,プリースト,神聖魔法,パロ,10,【コンタクト・ポータル】,コンタクト・ポータル,コンタクトポータル,▶,MP5,,物体1つ,接触/-,1日,なし,,離れた祠や神殿どうしを通じて会話できる,MA-109,,第三・大神
263,プリースト,神聖魔法,パロ,13,⏩【フレキシブル・コマンド】,フレキシブル・コマンド,フレキシブルコマンド,⏩,MP8,,1体全,2(30m)/起点指定,10秒(1R),必中,,効果時間中に鼓咆を2回まで使用できる,MA-109,,第三・大神
264,プリースト,神聖魔法,アーデニ,2,【クリーン・クロース】,クリーン・クロース,クリーンクロース,▶,MP3,,物体1つ,接触/-,一瞬/1日,なし,,布の汚れを落とし、身に纏うと毒や病気に対して+1,MA-109,,第三・大神
265,プリースト,神聖魔法,アーデニ,4,【レジスト・クロース】,レジスト・クロース,レジストクロース,▶,MP6,,1体X,2(30m)/起点指定,3分(18R),任意,,〈非金属鎧〉の防護点+1、属性を伴う魔法ダメージ-1,MA-109,,第三・大神
266,プリースト,神聖魔法,アーデニ,7,【マザー・クローク】,マザー・クローク,マザークローク,▶,MP9,,1体X,1(10m)/起点指定,3分(18R),任意,,対象は移動、主動作、補助動作を行えなくなるが、防護点+5、魔法ダメージ-5,MA-109,,第三・大神
267,プリースト,神聖魔法,アーデニ,10,【セイクリッド・バンテージ】,セイクリッド・バンテージ,セイクリッドバンテージ,▶,MP7,,1体,2(30m)/起点指定,一瞬,任意,,「毒」「病気」「呪い」属性の不利な効果を解除,MA-109,,第三・大神
268,プリースト,神聖魔法,アーデニ,13,【ステライル・テント】,ステライル・テント,ステライルテント,▶,MP25,,全エリア(半径30m)/空間,術者/-,1日,必中,,範囲内での「毒」「病気」の効果を発生させず、進行させない,MA-109,,第三・大神
269,プリースト,神聖魔法,フルシル,2,【ウィンド・サーキュレイション】,ウィンド・サーキュレイション,ウィンドサーキュレイション,▶,MP3,,1エリア(半径5m)/空間,1(10m)/起点指定,3時間,必中,,範囲内の気温を適温に保つと風を発生させる,I-270/MA-110,,第一・小神
270,プリースト,神聖魔法,フルシル,4,【コールドレイン】,コールドレイン,コールドレイン,▶,MP7,,1エリア(半径3m)/5,1(10m)/起点指定,一瞬/10秒(1R),半減,水・氷,k10ダメージを与え、回避力判定-1,I-270/MA-110,,第一・小神
271,プリースト,神聖魔法,フルシル,7,【ミルストーム】,ミルストーム,ミルストーム,▶,MP5,,1体X,2(30m)/起点指定,一瞬,半減,風,「k10+魔力」点ダメージ、部位数が多いとダメージ上昇,II-176/MA-110,,第一・小神
272,プリースト,神聖魔法,フルシル,10,【ストームフレンズ】,ストームフレンズ,ストームフレンズ,▶,MP8,,1エリア(半径6m)/20,術者/-,一瞬/3分(18R),必中,,「水・氷」「風」属性のダメージを増強・軽減,II-176/MA-110,,第一・小神
273,プリースト,神聖魔法,フルシル,13,【サイクロン】,サイクロン,サイクロン,▶,MP18,,1エリア(半径6m)/20,2(30m)/起点指定,一瞬,半減,風かつ雷,k40ダメージ,III-165/MA-110,,第一・小神
274,プリースト,神聖魔法,ストラスフォード,2,【グリース】,グリース,グリース,▶,MP2,,1体全,2(30m)/起点指定,3分(18R),任意,,制限移動距離+2m,II-182/MA-110,,第一・小神
275,プリースト,神聖魔法,ストラスフォード,4,【ドライブ・アウェイ】,ドライブ・アウェイ,ドライブアウェイ,▶,MP4,,1体,2(30m)/起点指定,3分(18R),短縮,,同一ラウンドの回避力・精神抵抗力判定に判定ごと-1,II-182/MA-110,,第一・小神
276,プリースト,神聖魔法,ストラスフォード,7,【ブラスト・ウォール】,ブラスト・ウォール,ブラストウォール,▶,MP8,,物体1つ,1(10m)/起点指定,一瞬,必中,,壁を破壊する,II-182/MA-110,,第一・小神
277,プリースト,神聖魔法,ストラスフォード,10,【ゴー・ザ・ウェイ】,ゴー・ザ・ウェイ,ゴーザウェイ,▶,MP30,,術者,術者/-,1時間,任意,,中空を歩きながら光の線路を作る,II-183/MA-110,,第一・小神
278,プリースト,神聖魔法,ストラスフォード,13,【コントロール・トレイン】,コントロール・トレイン,コントロールトレイン,▶,MP15,,物体1つ,接触/-,1時間,なし,,車輪で動く物体を操る,III-165/MA-110,,第一・小神
279,プリースト,神聖魔法,サドゥール,2,⏩【ロングストライド】,ロングストライド,ロングストライド,⏩,MP4,,1体X,1(10m)/起点指定,10秒(1R),任意,,対象の移動力+5,MA-111,,第一・小神
280,プリースト,神聖魔法,サドゥール,4,【ヒドゥン・ストレンジャー】,ヒドゥン・ストレンジャー,ヒドゥンストレンジャー,▶,MP5,,1体X,接触/-,1日,任意,,移動中の対象の「隠密判定」+2,MA-111,,第一・小神
281,プリースト,神聖魔法,サドゥール,7,【エア・ムービング】,エア・ムービング,エアムービング,▶,MP6,,1体X,1(10m)/起点指定,10分(60R),任意,,空中を歩けるようになる,MA-111,,第一・小神
282,プリースト,神聖魔法,サドゥール,10,【ディテクト・エネミー】,ディテクト・エネミー,ディテクトエネミー,▶,MP7,,全エリア(半径30m)/空間,術者/-,一瞬,必中,,敵意を持つキャラクターの方角を知る,MA-111,,第一・小神
283,プリースト,神聖魔法,サドゥール,13,【エマージェンシー・アライバル】,エマージェンシー・アライバル,エマージェンシーアライバル,▶,MP28,,1体全,接触/-,一瞬/1日,任意,,対象の元に瞬間移動する,MA-111,,第一・小神
284,プリースト,神聖魔法,ダルクレム,2,【ウォークライ】,ウォークライ,ウォークライ,▶,MP6,,1エリア(半径6m)/20,術者/-,一瞬/10秒(1R),消滅,精神効果,雄叫びで蛮族を高揚させ、物理ダメージ+2,II-364/MA-112,,第二・古代神
285,プリースト,神聖魔法,ダルクレム,4,【フレンジィ】,フレンジィ,フレンジィ,▶,MP8,,1エリア(半径6m)/20,術者/-,一瞬/3分(18R),消滅,呪い+精神効果,対象は戦いに専心し、与ダメージ+2,II-364/MA-112,,第二・古代神
286,プリースト,神聖魔法,ダルクレム,7,⏩【バーサーク】,バーサーク,バーサーク,⏩,MP8,,術者,術者/-,一瞬/3分(18R),任意,精神効果,凶暴化し、暴れ狂う,II-364/MA-112,,第二・古代神
287,プリースト,神聖魔法,ダルクレム,10,【トループ・オブ・イグニス】,トループ・オブ・イグニス,トループオブイグニス,▶,MP20,,1エリア(半径6m)/20,2(30m)/起点指定,3分(18R),なし,,蛮族にダルクレムの特殊神聖魔法を行使させる,II-364/MA-112,,第二・古代神
288,プリースト,神聖魔法,ダルクレム,13,【フェイタル・イクスプロージョン】,フェイタル・イクスプロージョン,フェイタルイクスプロージョン,▶,MP22,,1エリア(半径6m)/20,術者/-,一瞬,半減,衝撃,k80ダメージ,III-338/MA-112,,第二・古代神
289,プリースト,神聖魔法,エイリャーク,2,⏩△【ウェーブ・ライディング】,ウェーブ・ライディング,ウェーブライディング,⏩△,MP2,,1体,1(10m)/起点指定,10秒(1R),任意,,水中で回避力判定+1,II-365/MA-112,,第二・大神
290,プリースト,神聖魔法,エイリャーク,4,【ディープ・ブロック】,ディープ・ブロック,ディープブロック,▶,MP5,,1体X,1(10m)/起点指定,3分(18R),任意,,水中で《ブロッキング》を得る,II-365/MA-112,,第二・大神
291,プリースト,神聖魔法,エイリャーク,7,【ウォーター・ハンマー】,ウォーター・ハンマー,ウォーターハンマー,▶,MP8,,1体,2(30m)/起点指定,一瞬,半減,水・氷,k30ダメージ,II-365/MA-112,,第二・大神
292,プリースト,神聖魔法,エイリャーク,10,【ウォーター・バインド】,ウォーター・バインド,ウォーターバインド,▶,MP10,,物体1つ,2(30m)/起点指定,3分(18R),必中,,水上、水中での移動を封じる,II-365/MA-112,,第二・大神
293,プリースト,神聖魔法,エイリャーク,13,【ウォーター・ブリッジ】,ウォーター・ブリッジ,ウォーターブリッジ,▶,MP25,,術者,術者/-,1時間,任意,,水の橋を作る,III-338/MA-112,,第二・大神
294,プリースト,神聖魔法,ツァイデス,2,【ハイドインシャドウ】,ハイドインシャドウ,ハイドインシャドウ,▶,MP4,,術者,術者/-,1分(6R),任意,,隠密判定+2、第三者と同一座標で回避力判定+2,II-366/MA-113,,第二・大神
295,プリースト,神聖魔法,ツァイデス,4,【ヴァンピリック・ウェポン】,ヴァンピリック・ウェポン,ヴァンピリックウェポン,▶,MP4,,1体,2(30m)/起点指定,一瞬/3分(18R),任意,,武器を呪い属性にし、一度だけHP奪取,II-366/MA-113,,第二・大神
296,プリースト,神聖魔法,ツァイデス,7,【サンシェイド】,サンシェイド,サンシェイド,▶,MP6,,1体X,2(30m)/起点指定,3分(18R),任意,,陽光からの不利な効果を受けなくなる,II-366/MA-113,,第二・大神
297,プリースト,神聖魔法,ツァイデス,10,【スピリット・ドミネイション】,スピリット・ドミネイション,スピリットドミネイション,▶,MP10＆HP1,,1体X,接触/-,3分(18R),消滅,呪い+精神効果,術者に従う行動判定+2、反する行動判定-2,II-366/MA-113,,第二・大神
298,プリースト,神聖魔法,ツァイデス,13,⏩【アルティメット・ビーイング】,アルティメット・ビーイング,アルティメットビーイング,⏩,MP13,,術者,術者/-,10秒(1R),任意,,不利な効果をすべて無視し、行動判定+2,III-339/MA-113,,第二・大神
299,プリースト,神聖魔法,ニバセプス,2,⏩【ヒット・アドバンテージ】,ヒット・アドバンテージ,ヒットアドバンテージ,⏩,MP4,,術者,術者/-,10秒(1R),任意,,敵キャラクターに命中力判定を成功させたら1回だけ回避力+2,MA-114,,第二・大神
300,プリースト,神聖魔法,ニバセプス,4,【ヴァンピリック・ウェポン】,ヴァンピリック・ウェポン,ヴァンピリックウェポン,▶,MP4,,1体,2(30m)/起点指定,一瞬/3分(18R),任意,,武器を呪い属性にし、一度だけHP奪取,MA-114,,第二・大神
301,プリースト,神聖魔法,ニバセプス,7,【ディスクリミネイト】,ディスクリミネイト,ディスクリミネイト,▶,MP7,,1エリア(半径3m)/5,1(10m)/起点指定,一瞬/3分(18R),消滅,呪い,対象が「仲間キャラクター」ならHP最大値+5＆5点回復。「敵キャラクター」なら5点の魔法ダメージ,MA-114,,第二・大神
302,プリースト,神聖魔法,ニバセプス,10,【ブラッドバス】,ブラッドバス,ブラッドバス,▶,MP15,,全エリア(半径20m)/空間,術者/-,1分(6R),必中,呪い,手番終了時、すべての「敵キャラクター」に3点ダメージ、与えたダメージだけ術者のHP回復,MA-114,,第二・大神
303,プリースト,神聖魔法,ニバセプス,13,【ドミネーターズ・マイト】,ドミネーターズ・マイト,ドミネーターズマイト,▶,MP10,,術者,術者/-,3分(18R),任意,,回避力、生命・精神抵抗力判定に成功すると、物理・魔法ダメージ+1,MA-114,,第二・大神
304,プリースト,神聖魔法,グルヴァゾ,2,【テクニカル・トラップ】,テクニカル・トラップ,テクニカルトラップ,▶,MP4,,1体全,接触/-,10分(60R),任意,,罠接地判定の達成値+4,MA-115,,第二・大神
305,プリースト,神聖魔法,グルヴァゾ,4,【コンプリケイション・トラップ】,コンプリケイション・トラップ,コンプリケイショントラップ,▶,MP4,,物体1つ,接触/-,永続,なし,,すでに設置された罠の解除を困難にする,MA-115,,第二・大神
306,プリースト,神聖魔法,グルヴァゾ,7,【グーフ・アドベンチャラー】,グーフ・アドベンチャラー,グーフアドベンチャラー,▶,MP15,,全エリア(半径30m)/空間,接触/-,1日,必中,,範囲内での「探索判定」「解除判定」「罠回避判定」の達成値-2,MA-115,,第二・大神
307,プリースト,神聖魔法,グルヴァゾ,10,⏩【リベンジ・トリガー】,リベンジ・トリガー,リベンジトリガー,⏩,MP8,,術者,術者/-,10秒(1R),任意,呪い,ダメージを与えてきた対象に「プリースト技能レベル」点の確定ダメージ,MA-115,,第二・大神
308,プリースト,神聖魔法,グルヴァゾ,13,⏩【クリティカル・プレパレイション】,クリティカル・プレパレイション,クリティカルプレパレイション,⏩,MP20,,全エリア(半径30m)/空間,術者/-,10秒(1R),必中,呪い,最も多く「2d」を振ったものにk80ダメージ,MA-115,,第二・大神
309,プリースト,神聖魔法,ソラス=パレス,2,【ウェザー・フォーキャスト】,ウェザー・フォーキャスト,ウェザーフォーキャスト,▶,MP3,,術者,術者/-,1日,任意,,天候予測判定+4,MA-115,,第二・大神
310,プリースト,神聖魔法,ソラス=パレス,4,⏩【フォール・ライトニング】,フォール・ライトニング,フォールライトニング,⏩,MP4,,全エリア(半径20m)/空間,術者/-,一瞬,必中,雷,範囲内の無作為1体に「k10+魔力」点ダメージ,MA-115,,第二・大神
311,プリースト,神聖魔法,ソラス=パレス,7,⏩【プレセージ・ディザスター】,プレセージ・ディザスター,プレセージディザスター,⏩,MP4,,全エリア(半径30m)/空間,術者/-,10秒(1R),必中,,ランダムに対象を選ぶ効果を予言する,MA-115,,第二・大神
312,プリースト,神聖魔法,ソラス=パレス,10,【コンフューズ・フォッグ】,コンフューズ・フォッグ,コンフューズフォッグ,▶,MP8,,2〜3エリア(半径10m)/空間,術者/-,3分(18R),短縮,精神効果,敵味方を判別不能にする,MA-115,,第二・大神
313,プリースト,神聖魔法,ソラス=パレス,13,【ファントム・フラッド】,ファントム・フラッド,ファントムフラッド,▶,MP22,,全エリア(半径30m)/空間,術者/-,一瞬/3分(18R),必中,水・氷,「k50+魔力」点ダメージを与え、転倒させる,MA-116,,第二・大神
314,プリースト,神聖魔法,メイガル,2,【チェンジ・フラウド】,チェンジ・フラウド,チェンジフラウド,▶,MP3,,1体全,接触/-,3分(18R),消滅,精神効果,金銭取引時、5％以下の過不足に気づかなくなる,MA-116,,第二・大神
315,プリースト,神聖魔法,メイガル,4,【ワース・デコレイション】,ワース・デコレイション,ワースデコレイション,▶,MP3,,物体1つ,接触/-,1時間,なし,,対象の金銭的価値を2倍に誤認させる,MA-116,,第二・大神
316,プリースト,神聖魔法,メイガル,7,【ゲイン・トラスト】,ゲイン・トラスト,ゲイントラスト,▶,MP8,,1体全,接触/-,1日,消滅,精神効果,術者を信頼できる取引相手と思いこませる,MA-116,,第二・大神
317,プリースト,神聖魔法,メイガル,10,【マネー・ディストラクト】,マネー・ディストラクト,マネーディストラクト,▶,MP9,,1エリア(半径5m)/すべて,術者/-,一瞬/1時間,消滅,精神効果,金銭取引に不信感を抱かせる,MA-116,,第二・大神
318,プリースト,神聖魔法,メイガル,13,【フェイク・ガメル】,フェイク・ガメル,フェイクガメル,▶,MP10,,接触点,接触/-,7日,なし,,偽のガメル銀貨、金貨を作製する,MA-116,,第二・大神
319,プリースト,神聖魔法,ラーリス,2,【マナ・シンク】,マナ・シンク,マナシンク,▶,MP5,,1体,1(10m)/起点指定,一瞬,消滅,呪い,MPにk0ダメージ,II-367/MA-113,,特殊・特殊な神
320,プリースト,神聖魔法,ラーリス,4,【デフネス】,デフネス,デフネス,▶,MP8,,1体全,1(10m)/起点指定,3分(18R),消滅,呪い,対象の聴覚を失わせる,II-367/MA-113,,特殊・特殊な神
321,プリースト,神聖魔法,ラーリス,7,【サモン・アザービースト】,サモン・アザービースト,サモンアザービースト,▶,MP6,,任意の地点,1(10m)/起点指定,永続,なし,,アザービーストを召喚し、使役する,II-367/MA-113,,特殊・特殊な神
322,プリースト,神聖魔法,ラーリス,10,【サモン・インセクト】,サモン・インセクト,サモンインセクト,▶,MP10,,1体,2(30m)/起点指定,3分(18R),短縮,毒,毎ラウンドk10ダメージ,II-367/MA-113,,特殊・特殊な神
323,プリースト,神聖魔法,ラーリス,13,【コール・デーモン】,コール・デーモン,コールデーモン,▶,MP20,,任意の地点,1(10m)/起点指定,一瞬,なし,,魔神を召喚する,III-339/MA-113,,特殊・特殊な神
324,マギテック,魔動機術,,1,⏩【シグナル・バレット】,シグナル・バレット,シグナルバレット,⏩,MP1,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,信号弾を作る,MA-119,,
325,マギテック,魔動機術,,1,⏩【ソリッド・バレット】,ソリッド・バレット,ソリッドバレット,⏩,MP1,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,k20の弾丸を作製する,I-271/MA-119,,
326,マギテック,魔動機術,,1,⏩【ターゲットサイト】,ターゲットサイト,ターゲットサイト,⏩,MP2,マギスフィア小,術者,術者/-,10秒(1R),任意,,命中力判定+1,I-271/MA-119,,
327,マギテック,魔動機術,,1,【サウンド・ボム】,サウンド・ボム,サウンドボム,▶,MP2,マギスフィア小,任意の地点,2(30m)/射撃,一瞬,なし,,小さな音を立てる,MA-119,,
328,マギテック,魔動機術,,1,【フラッシュライト】,フラッシュライト,フラッシュライト,▶,MP2,マギスフィア小,術者,術者/-,6時間,任意,,2エリア(前方10m半径の半円)の空間を照らす,I-271/MA-119,,
329,マギテック,魔動機術,,1,【マナサーチ】,マナサーチ,マナサーチ,▶,MP3,マギスフィア大中小,全エリア(半径10m～50m)/空間,2(30m)/起点指定,一瞬,必中,,魔力を帯びた物品の位置を知る,I-271/MA-119,,
330,マギテック,魔動機術,,2,⏩【エクスプローラーエイド】,エクスプローラーエイド,エクスプローラーエイド,⏩,MP4,マギスフィア小,術者,術者/-,10分(60R),任意,,探索判定、解除判定に+2,I-272/MA-119,,
331,マギテック,魔動機術,,2,⏩【クリティカル・バレット】,クリティカル・バレット,クリティカルバレット,⏩,MP2,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,k20、C値-1の弾丸を作る,I-272/MA-119,,
332,マギテック,魔動機術,,2,⏩【ヒーリング・バレット】,ヒーリング・バレット,ヒーリングバレット,⏩,MP1,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,k0で回復する弾丸を作る,I-272/MA-119,,
333,マギテック,魔動機術,,2,【サウンドレコーダー】,サウンドレコーダー,サウンドレコーダー,▶,MP5,マギスフィア大中小,術者,術者/-,特殊,必中,,音声を記録再生する,MA-119,,
334,マギテック,魔動機術,,2,【シャドウボディ】,シャドウボディ,シャドウボディ,▶,MP3,マギスフィア小,術者,術者/-,1分(6R),任意,,回避力+1,MA-120,,
335,マギテック,魔動機術,,2,【ノッカー・ボム】,ノッカー・ボム,ノッカーボム,▶,MP3,マギスフィア小,物体1つ,接触/-,一瞬/10秒(1R),消滅,,鍵や錠前を吹き飛ばす,I-272/MA-120,,
336,マギテック,魔動機術,,3,⏩【エフェクト・バレット】,エフェクト・バレット,エフェクトバレット,⏩,MP1,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,属性を持つ、k20の弾丸を作る,I-273/MA-120,,
337,マギテック,魔動機術,,3,⏩【ティアガス・バレット】,ティアガス・バレット,ティアガスバレット,⏩,MP3,マギスフィア小,弾丸,術者/-,10秒(1R),なし,毒,催涙弾を作る,MA-120,,
338,マギテック,魔動機術,,3,【エフェクトウェポン】,エフェクトウェポン,エフェクトウェポン,▶,MP2,マギスフィア小,1体,1(10m)/起点指定,3分(18R),任意,,対象の武器に属性を与え、物理ダメージ+1,I-273/MA-120,,
339,マギテック,魔動機術,,3,【グルー・ボム】,グルー・ボム,グルーボム,▶,MP5,マギスフィア小,1体X,2(30m)/射撃,3分(18R),必中,,粘着性の物質で動きを封じる,MA-120,,
340,マギテック,魔動機術,,3,【ジャンプブーツ】,ジャンプブーツ,ジャンプブーツ,▶,MP3,マギスフィア大中小,術者,術者/-,3分(18R),任意,,跳躍能力を得る,I-273/MA-120,,
341,マギテック,魔動機術,,3,【ショック・ボム】,ショック・ボム,ショックボム,▶,MP3,マギスフィア中,1体,1(10m)/射撃,一瞬/30秒(3R),消滅,,敏捷度-12,I-273/MA-120,,
342,マギテック,魔動機術,,4,⏩△【アナライズ】,アナライズ,アナライズ,⏩△,MP2,マギスフィア小,物体1つ、または、1体全,術者/-,一瞬,必中,,機械の構造や魔物の能力を把握する,I-274/MA-120,,
343,マギテック,魔動機術,,4,⏩【オートガード】,オートガード,オートガード,⏩,MP5,マギスフィア中,術者,術者/-,10秒(1R),任意,,回避力、防護点+1,MA-120,,
344,マギテック,魔動機術,,4,⏩【クイックローダー】,クイックローダー,クイックローダー,⏩,MP4,マギスフィア小,〈ガン〉1丁,術者/-,一瞬,なし,,〈ガン〉に最大装填数まで弾丸を装填する,I-274/MA-120,,
345,マギテック,魔動機術,,4,【オートモビル】,オートモビル,オートモビル,▶,MP10,マギスフィア大,接触点,接触/-,1時間,なし,,【魔動バイク】または【魔動ミニバイク】を作製する,III-166/MA-120,,
346,マギテック,魔動機術,,4,【スモーク・ボム】,スモーク・ボム,スモークボム,▶,MP4,マギスフィア中,1エリア(半径5m)/空間,1(10m)/射撃,一瞬/30秒(3R),必中,,煙幕の爆弾を射出する,I-274/MA-121,,
347,マギテック,魔動機術,,5,⏩【ショットガン・バレット】,ショットガン・バレット,ショットガンバレット,⏩,MP2,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,k20の散弾を作る。2H〈ガン〉専用,I-275/MA-121,,
348,マギテック,魔動機術,,5,【アンチエイミング・ボム】,アンチエイミング・ボム,アンチエイミングボム,▶,MP8,マギスフィア中,1エリア(半径5m)/15,2(30m)/射撃,一瞬/3分(18R),短縮,,視覚情報を歪ませる,MA-121,,
349,マギテック,魔動機術,,5,【グレネード】,グレネード,グレネード,▶,MP6,マギスフィア小,1エリア(半径3m)/5,1(10m)/射撃,一瞬,半減,炎,k30ダメージ,I-275/MA-121,,
350,マギテック,魔動機術,,5,【ライフシグナル】,ライフシグナル,ライフシグナル,▶,MP5,マギスフィア小,1体全,接触/-,1日,任意,,対象の居場所と健康状態を知り続ける,MA-121,,
351,マギテック,魔動機術,,5,【ワイヤーアンカー】,ワイヤーアンカー,ワイヤーアンカー,▶,MP4,マギスフィア中,物体1つ、または、1体全,2(30m)/射撃,3分(18R),消滅,,フック付きのワイヤーを放ち、絡める,I-275/MA-121,,
352,マギテック,魔動機術,,6,⏩【バースト・ショット】,バースト・ショット,バーストショット,⏩,MP3,マギスフィア小,弾丸3発,術者/-,10秒(1R),なし,,3連射することで命中力判定+2、k30となる弾丸を作る,I-276/MA-121,,
353,マギテック,魔動機術,,6,【ウィークネス】,ウィークネス,ウィークネス,▶,MP6,マギスフィア中,1体,2(30m)/起点指定,3分(18R),短縮,,弱点を付与する,MA-121,,
354,マギテック,魔動機術,,6,【クリエイトウェポン】,クリエイトウェポン,クリエイトウェポン,▶,MP7,マギスフィア小,接触点,接触/-,1分(6R),なし,,〈マギスフィア〉を魔法の近接攻撃武器とする,I-276/MA-122,,
355,マギテック,魔動機術,,6,【ディスガイズセット】,ディスガイズセット,ディスガイズセット,▶,MP3,マギスフィア小,術者,術者/-,1時間,任意,,変装し、他人になりすます,I-276/MA-122,,
356,マギテック,魔動機術,,6,【レジスト・ボム】,レジスト・ボム,レジストボム,▶,MP6,マギスフィア中,1エリア(半径5m)/15,1(10m)/射撃,一瞬/3分(18R),必中,,特定属性からの不利を受けず、ダメージを-4,I-276/MA-122,,
357,マギテック,魔動機術,,7,⏩【スタン・バレット】,スタン・バレット,スタンバレット,⏩,MP3,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,k10、かつ軽い麻痺を与える弾丸を作る,II-184/MA-122,,
358,マギテック,魔動機術,,7,⏩【タイマー・クロック】,タイマー・クロック,タイマークロック,⏩,MP1,マギスフィア小,術者,術者/-,1時間,任意,,各種のボムを時限式にする,MA-122,,
359,マギテック,魔動機術,,7,【オートモビルII】,オートモビルII,オートモビル,▶,MP15,マギスフィア大,接触点,接触/-,1時間,なし,,【高性能魔動バイク】を作製する,III-166/MA-122,,
360,マギテック,魔動機術,,7,【テレスコープ】,テレスコープ,テレスコープ,▶,MP1,マギスフィア大中小,術者,術者/-,3分(18R),任意,,遠くを見る,I-184/MA-122,,
361,マギテック,魔動機術,,7,【ライフセンサー】,ライフセンサー,ライフセンサー,▶,MP3,マギスフィア大中小,術者,術者/-,3分(18R),必中,,生体を探知する,I-184/MA-122,,
362,マギテック,魔動機術,,8,⏩【グライダーマント】,グライダーマント,グライダーマント,⏩,MP6,マギスフィア中,術者,術者/-,3分(18R),任意,,滑空するマントを作り、空を舞う,I-185/MA-122,,
363,マギテック,魔動機術,,8,⏩【パイルシューター】,パイルシューター,パイルシューター,⏩,MP6,マギスフィア中,術者,術者/-,一瞬/10秒(1R),任意,,高速射出武器(k50)を作製する,MA-122,,
364,マギテック,魔動機術,,8,【エアタイトアーマー】,エアタイトアーマー,エアタイトアーマー,▶,MP8,マギスフィア大,1体X,接触/-,1時間,任意,,過酷な環境に耐える,I-185/MA-123,,
365,マギテック,魔動機術,,8,【フラッシュ・ボム】,フラッシュ・ボム,フラッシュボム,▶,MP5,マギスフィア中,1エリア(半径6m)/20,2(30m)/射撃,一瞬/1分(6R),消滅,,閃光を放つ爆弾を射出する,I-185/MA-123,,
366,マギテック,魔動機術,,8,【マナカメラ】,マナカメラ,マナカメラ,▶,MP1,マギスフィア大中小,任意の地点,2(無限)/起点指定,一瞬,必中,,静止画像を記録再生する,I-185/MA-123,,
367,マギテック,魔動機術,,9,⏩【ハイブリッド】,ハイブリッド,ハイブリッド,⏩,MP8,マギスフィア中,術者,術者/-,10秒(1R),任意,,【～・ボム】を2発撃てるようにする,MA-123,,
368,マギテック,魔動機術,,9,⏩【レーザー・バレット】,レーザー・バレット,レーザーバレット,⏩,MP3,マギスフィア小,弾丸,術者/-,10秒(1R),なし,純エネルギー,k30、C値-1の光弾を作製する,I-186/MA-123,,
369,マギテック,魔動機術,,9,【テレグラフ】,テレグラフ,テレグラフ,▶,MP3,マギスフィア大中小,接触点,接触/-,6時間,なし,,声を届ける子機を作製する,MA-123,,
370,マギテック,魔動機術,,9,【マナディクショナリー】,マナディクショナリー,マナディクショナリー,▶,MP3,マギスフィア中,術者,術者/-,10分(60R),任意,,言語を翻訳し、文字や音声で出力する,I-186/MA-123,,
371,マギテック,魔動機術,,9,【メディカルキット】,メディカルキット,メディカルキット,▶,MP3,マギスフィア中,1体,接触/-,一瞬,任意,,治療道具を取り出し、治療する,I-186/MA-123,,
372,マギテック,魔動機術,,10,⏩【トリート・バレット】,トリート・バレット,トリートバレット,⏩,MP2,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,k30で回復する弾丸を作る,I-187/MA-124,,
373,マギテック,魔動機術,,10,⏩【ホーミングレーザー】,ホーミングレーザー,ホーミングレーザー,⏩,MP4,マギスフィア小,弾丸,術者/-,10秒(1R),なし,,【レーザー・バレット】の命中力+2,I-187/MA-124,,
374,マギテック,魔動機術,,10,【ホログラフィ】,ホログラフィ,ホログラフィ,▶,MP5,マギスフィア大,任意の地点,2(無限)/起点指定,3分(18R),必中,,動画を記録再生する,I-187/MA-124,,
